{'symbol': 'TCEHY', 'Datum': '2021-08-24 21:59:06', 'price': '62,56', 'change': '+5,42 (+9,48%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:04:17', 'price': '62,61', 'change': '+5,47 (+9,56%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:09:28', 'price': '62,44', 'change': '+5,30 (+9,27%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:14:37', 'price': '62,58', 'change': '+5,44 (+9,52%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:19:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:24:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:30:07', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:35:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:40:26', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:45:36', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:50:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 22:55:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:01:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:06:16', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:11:24', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:16:34', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:21:44', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:26:53', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:32:03', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:37:12', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:42:21', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:47:30', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:52:40', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-24 23:57:50', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:02:59', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:08:09', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:13:18', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:18:28', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:23:37', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:28:47', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:33:56', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:39:06', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:44:15', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:49:25', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:54:35', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 00:59:44', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:04:54', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:10:04', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:15:13', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:20:22', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:25:31', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:30:40', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
{'symbol': 'TCEHY', 'Datum': '2021-08-25 01:35:49', 'price': '62,56', 'change': '+5,42 (+9,49%)'}
